Origin,Destination,Value
Portmarnock,Newbridge,D91
Portmarnock,Kildare,D92
Clongriffin,Drogheda (MacBride),D91
Clongriffin,Laytown,D91
Clongriffin,Gormanston,D90
Clongriffin,Balbriggan,D90
Clongriffin,Skerries,D14
Clongriffin,Rush and Lusk,D2
Clongriffin,Donabate,D2
Clongriffin,Malahide,D2
Clongriffin,Portmarnock,D1
Clongriffin,Howth,D2
Clongriffin,Sutton,D2
Clongriffin,Bayside,D1
Clongriffin,Howth Junction and Donaghmede,D1
Clongriffin,Kilbarrack,D1
Clongriffin,Raheny,D1
Clongriffin,Harmonstown,D2
Clongriffin,Killester,D2
Clongriffin,Clontarf Road,D2
Clongriffin,Dublin Connolly,D2
Clongriffin,Tara Street,D2
Clongriffin,Dublin Pearse,D2
Clongriffin,Grand Canal Dock,D2
Clongriffin,Lansdowne Road,D2
Clongriffin,Sandymount,D2
Clongriffin,Sydney Parade,D2
Clongriffin,Booterstown,D2
Clongriffin,Blackrock,D2
Clongriffin,Seapoint,D2
Clongriffin,Salthill and Monkstown,D2
Clongriffin,Dun Laoghaire (Mallin),D2
Clongriffin,Sandycove and Glasthule,D2
Clongriffin,Glenageary,D2
Clongriffin,Dalkey,D2
Clongriffin,Killiney,D2
Clongriffin,Shankill,D2
Clongriffin,Bray (Daly),D2
Clongriffin,Greystones,D90
Clongriffin,Kilcoole,D90
Clongriffin,Wicklow,D91
Clongriffin,Rathdrum,D92
Clongriffin,Docklands,D2
Clongriffin,Drumcondra,D2
Clongriffin,Broombridge,D2
Clongriffin,Pelletstown,D2
Clongriffin,Ashtown,D2
Clongriffin,Navan Road Parkway,D2
Clongriffin,Castleknock,D2
Clongriffin,Coolmine,D2
Clongriffin,Clonsilla,D2
Clongriffin,Hansfield,D2
Clongriffin,Dunboyne,D2
Clongriffin,M3 Parkway,D2
Clongriffin,Leixlip(Confey),D2
Clongriffin,Leixlip(Louisa Bridge),D2
Clongriffin,Maynooth,D2
Clongriffin,Kilcock,D90
Clongriffin,Enfield,D91
Clongriffin,Dublin Heuston,D2
Clongriffin,Park West and Cherry Orchard,D2
Clongriffin,Clondalkin Fonthill,D2
Clongriffin,Kishoge,D2
Clongriffin,Adamstown,D2
Clongriffin,Hazelhatch and Celbridge,D2
Clongriffin,Sallins and Naas,D90
Clongriffin,Newbridge,D91
Clongriffin,Kildare,D92
Howth,Drogheda (MacBride),D91
Howth,Laytown,D91
Howth,Gormanston,D90
Howth,Balbriggan,D90
Howth,Skerries,D90
Howth,Rush and Lusk,D2
Howth,Donabate,D2
Howth,Malahide,D2
Howth,Portmarnock,D2
Howth,Clongriffin,D2
Howth,Sutton,D1
Howth,Bayside,D2
Howth,Howth Junction and Donaghmede,D2
Howth,Kilbarrack,D2
Howth,Raheny,D2
Howth,Harmonstown,D2
Howth,Killester,D2
Howth,Clontarf Road,D2
Howth,Dublin Connolly,D2
Howth,Tara Street,D2
Howth,Dublin Pearse,D2
Howth,Grand Canal Dock,D2
Howth,Lansdowne Road,D2
Howth,Sandymount,D2
Howth,Sydney Parade,D2
Howth,Booterstown,D2
Howth,Blackrock,D2
Howth,Seapoint,D2
Howth,Salthill and Monkstown,D2
Howth,Dun Laoghaire (Mallin),D2
Howth,Sandycove and Glasthule,D2
Howth,Glenageary,D2
Howth,Dalkey,D2
Howth,Killiney,D2
Howth,Shankill,D2
Howth,Bray (Daly),D2
Howth,Greystones,D90
Howth,Kilcoole,D90
Howth,Wicklow,D91
Howth,Rathdrum,D92
Howth,Docklands,D2
Howth,Drumcondra,D2
Howth,Broombridge,D2
Howth,Pelletstown,D2
Howth,Ashtown,D2
Howth,Navan Road Parkway,D2
Howth,Castleknock,D2
Howth,Coolmine,D2
Howth,Clonsilla,D2
Howth,Hansfield,D2
Howth,Dunboyne,D2
Howth,M3 Parkway,D2
Howth,Leixlip(Confey),D2
Howth,Leixlip(Louisa Bridge),D2
Howth,Maynooth,D2
Howth,Kilcock,D90
Howth,Enfield,D91
Howth,Dublin Heuston,D2
Howth,Park West and Cherry Orchard,D2
Howth,Clondalkin Fonthill,D2
Howth,Kishoge,D2
Howth,Adamstown,D2
Howth,Hazelhatch and Celbridge,D2
Howth,Sallins and Naas,D90
Howth,Newbridge,D91
Howth,Kildare,D92
Sutton,Drogheda (MacBride),D91
Sutton,Laytown,D91
Sutton,Gormanston,D90
Sutton,Balbriggan,D90
Sutton,Skerries,D90
Sutton,Rush and Lusk,D2
Sutton,Donabate,D2
Sutton,Malahide,D2
Sutton,Portmarnock,D2
Sutton,Clongriffin,D2
Sutton,Howth,D1
Sutton,Bayside,D1
Sutton,Howth Junction and Donaghmede,D1
Sutton,Kilbarrack,D1
Sutton,Raheny,D2
Sutton,Harmonstown,D2
Sutton,Killester,D2
Sutton,Clontarf Road,D2
Sutton,Dublin Connolly,D2
Sutton,Tara Street,D2
Sutton,Dublin Pearse,D2
Sutton,Grand Canal Dock,D2
Sutton,Lansdowne Road,D2
Sutton,Sandymount,D2
Sutton,Sydney Parade,D2
Sutton,Booterstown,D2
Sutton,Blackrock,D2
Sutton,Seapoint,D2
Sutton,Salthill and Monkstown,D2
Sutton,Dun Laoghaire (Mallin),D2
Sutton,Sandycove and Glasthule,D2
Sutton,Glenageary,D2
Sutton,Dalkey,D2
Sutton,Killiney,D2
Sutton,Shankill,D2
Sutton,Bray (Daly),D2
Sutton,Greystones,D90
Sutton,Kilcoole,D90
Sutton,Wicklow,D91
Sutton,Rathdrum,D92
Sutton,Docklands,D2
Sutton,Drumcondra,D2
Sutton,Broombridge,D2
Sutton,Pelletstown,D2
Sutton,Ashtown,D2
Sutton,Navan Road Parkway,D2
Sutton,Castleknock,D2
Sutton,Coolmine,D2
Sutton,Clonsilla,D2
Sutton,Hansfield,D2
Sutton,Dunboyne,D2
Sutton,M3 Parkway,D2
Sutton,Leixlip(Confey),D2
Sutton,Leixlip(Louisa Bridge),D2
Sutton,Maynooth,D2
Sutton,Kilcock,D90
Sutton,Enfield,D91
Sutton,Dublin Heuston,D2
Sutton,Park West and Cherry Orchard,D2
Sutton,Clondalkin Fonthill,D2
Sutton,Kishoge,D2
Sutton,Adamstown,D2
Sutton,Hazelhatch and Celbridge,D2
Sutton,Sallins and Naas,D90
Sutton,Newbridge,D91
Sutton,Kildare,D92
Bayside,Drogheda (MacBride),D91
Bayside,Laytown,D91
Bayside,Gormanston,D90
Bayside,Balbriggan,D90
Bayside,Skerries,D14
Bayside,Rush and Lusk,D2
Bayside,Donabate,D2
Bayside,Malahide,D2
Bayside,Portmarnock,D2
Bayside,Clongriffin,D1
Bayside,Howth,D2
Bayside,Sutton,D1
Bayside,Howth Junction and Donaghmede,D1
Bayside,Kilbarrack,D1
Bayside,Raheny,D1
Bayside,Harmonstown,D2
Bayside,Killester,D2
Bayside,Clontarf Road,D2
Bayside,Dublin Connolly,D2
Bayside,Tara Street,D2
Bayside,Dublin Pearse,D2
Bayside,Grand Canal Dock,D2
Bayside,Lansdowne Road,D2
Bayside,Sandymount,D2
Bayside,Sydney Parade,D2
Bayside,Booterstown,D2
Bayside,Blackrock,D2
Bayside,Seapoint,D2
Bayside,Salthill and Monkstown,D2
Bayside,Dun Laoghaire (Mallin),D2
Bayside,Sandycove and Glasthule,D2
Bayside,Glenageary,D2
Bayside,Dalkey,D2
Bayside,Killiney,D2
Bayside,Shankill,D2
Bayside,Bray (Daly),D2
Bayside,Greystones,D90
Bayside,Kilcoole,D90
Bayside,Wicklow,D91
Bayside,Rathdrum,D92
Bayside,Docklands,D2
Bayside,Drumcondra,D2
Bayside,Broombridge,D2
Bayside,Pelletstown,D2
Bayside,Ashtown,D2
